customer_id	customer_name	email	city	last_modified_at
1	Customer 1	customer1@gmail.com	Coimbatore	2026-06-03T12:55:00.034230+01:00
2	Customer 2	customer2@gmail.com	Madurai	2026-06-03T12:54:00.034230+01:00
3	Customer 3	customer3@gmail.com	Madurai	2026-06-03T12:53:00.034230+01:00
4	Customer 4	customer4@gmail.com	Madurai	2026-06-03T12:52:00.034230+01:00
5	Customer 5	customer5@gmail.com	Chennai	2026-06-03T12:51:00.034230+01:00
6	Customer 6	customer6@gmail.com	Trichy	2026-06-03T12:50:00.034230+01:00
7	Customer 7	customer7@gmail.com	Trichy	2026-06-03T12:49:00.034230+01:00
8	Customer 8	customer8@gmail.com	Chennai	2026-06-03T12:48:00.034230+01:00
9	Customer 9	customer9@gmail.com	Chennai	2026-06-03T12:47:00.034230+01:00
10	Customer 10	customer10@gmail.com	Coimbatore	2026-06-03T12:46:00.034230+01:00
11	Customer 11	customer11@gmail.com	Chennai	2026-06-03T12:45:00.034230+01:00
12	Customer 12	customer12@gmail.com	Trichy	2026-06-03T12:44:00.034230+01:00
13	Customer 13	customer13@gmail.com	Chennai	2026-06-03T12:43:00.034230+01:00
14	Customer 14	customer14@gmail.com	Trichy	2026-06-03T12:42:00.034230+01:00
15	Customer 15	customer15@gmail.com	Coimbatore	2026-06-03T12:41:00.034230+01:00
16	Customer 16	customer16@gmail.com	Coimbatore	2026-06-03T12:40:00.034230+01:00
17	Customer 17	customer17@gmail.com	Chennai	2026-06-03T12:39:00.034230+01:00
18	Customer 18	customer18@gmail.com	Madurai	2026-06-03T12:38:00.034230+01:00
19	Customer 19	customer19@gmail.com	Trichy	2026-06-03T12:37:00.034230+01:00
20	Customer 20	customer20@gmail.com	Trichy	2026-06-03T12:36:00.034230+01:00
21	Customer 21	customer21@gmail.com	Coimbatore	2026-06-03T12:35:00.034230+01:00
22	Customer 22	customer22@gmail.com	Coimbatore	2026-06-03T12:34:00.034230+01:00
23	Customer 23	customer23@gmail.com	Chennai	2026-06-03T12:33:00.034230+01:00
24	Customer 24	customer24@gmail.com	Madurai	2026-06-03T12:32:00.034230+01:00
25	Customer 25	customer25@gmail.com	Trichy	2026-06-03T12:31:00.034230+01:00
26	Customer 26	customer26@gmail.com	Madurai	2026-06-03T12:30:00.034230+01:00
27	Customer 27	customer27@gmail.com	Trichy	2026-06-03T12:29:00.034230+01:00
28	Customer 28	customer28@gmail.com	Coimbatore	2026-06-03T12:28:00.034230+01:00
29	Customer 29	customer29@gmail.com	Trichy	2026-06-03T12:27:00.034230+01:00
30	Customer 30	customer30@gmail.com	Trichy	2026-06-03T12:26:00.034230+01:00
31	Customer 31	customer31@gmail.com	Trichy	2026-06-03T12:25:00.034230+01:00
32	Customer 32	customer32@gmail.com	Chennai	2026-06-03T12:24:00.034230+01:00
33	Customer 33	customer33@gmail.com	Madurai	2026-06-03T12:23:00.034230+01:00
34	Customer 34	customer34@gmail.com	Trichy	2026-06-03T12:22:00.034230+01:00
35	Customer 35	customer35@gmail.com	Trichy	2026-06-03T12:21:00.034230+01:00
36	Customer 36	customer36@gmail.com	Madurai	2026-06-03T12:20:00.034230+01:00
37	Customer 37	customer37@gmail.com	Madurai	2026-06-03T12:19:00.034230+01:00
38	Customer 38	customer38@gmail.com	Trichy	2026-06-03T12:18:00.034230+01:00
39	Customer 39	customer39@gmail.com	Madurai	2026-06-03T12:17:00.034230+01:00
40	Customer 40	customer40@gmail.com	Trichy	2026-06-03T12:16:00.034230+01:00
41	Customer 41	customer41@gmail.com	Coimbatore	2026-06-03T12:15:00.034230+01:00
42	Customer 42	customer42@gmail.com	Madurai	2026-06-03T12:14:00.034230+01:00
43	Customer 43	customer43@gmail.com	Madurai	2026-06-03T12:13:00.034230+01:00
44	Customer 44	customer44@gmail.com	Trichy	2026-06-03T12:12:00.034230+01:00
45	Customer 45	customer45@gmail.com	Coimbatore	2026-06-03T12:11:00.034230+01:00
46	Customer 46	customer46@gmail.com	Trichy	2026-06-03T12:10:00.034230+01:00
47	Customer 47	customer47@gmail.com	Madurai	2026-06-03T12:09:00.034230+01:00
48	Customer 48	customer48@gmail.com	Coimbatore	2026-06-03T12:08:00.034230+01:00
49	Customer 49	customer49@gmail.com	Chennai	2026-06-03T12:07:00.034230+01:00
50	Customer 50	customer50@gmail.com	Trichy	2026-06-03T12:06:00.034230+01:00
51	Customer 51	customer51@gmail.com	Chennai	2026-06-03T12:05:00.034230+01:00
52	Customer 52	customer52@gmail.com	Trichy	2026-06-03T12:04:00.034230+01:00
53	Customer 53	customer53@gmail.com	Coimbatore	2026-06-03T12:03:00.034230+01:00
